selector,selector_backend,inference_seconds,peak_vram_gib,mean_coverage,area_stability,mean_temporal_iou,empty_frame_ratio
uniform,deterministic-uniform,1.295,2.677,0.037444692105054855,0.96175211668014553,0.017093655461295987,0.5
motion,visual-motion,0.437,2.677,0.08776252716779709,0.9108604788780212,0.0130533756809538493,0.25
query,CLIP ViT-B/32,0.372,2.959,0.09104109555482864,0.9310068488121033,0.051312225251891885,0.25
hybrid,CLIP ViT-B/32,0.374,2.959,0.06952959299087524,0.9144371151924133,0.00227445626484319374,0.25
